gameid,title,developers,publishers,genres,supported_languages,release_date
1239260,Barro F,['SC Jogos'],['SC Jogos'],"['Casual', 'Indie', 'Racing']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Bulgarian', 'Simplified Chinese', 'Traditional Chinese', 'Danish', 'Spanish - Latin America', 'Finnish', 'Greek', 'Dutch', 'Hungarian', 'Indonesian', 'Japanese', 'Norwegian', 'Polish', 'Portuguese - Brazil', 'Portuguese - Portugal', 'Romanian', 'Russian', 'Swedish', 'Thai', 'Czech', 'Turkish', 'Ukrainian', 'Vietnamese', 'Arabic', 'Afrikaans', 'Albanian', 'Amharic', 'Armenian', 'Assamese', 'Azerbaijani', 'Basque', 'Bangla', 'Belarusian', 'Bosnian', 'Kannada', 'Catalan', 'Kazakh', 'Cherokee', 'Sinhala', 'Konkani', 'Croatian', 'Dari', 'Slovak', 'Slovenian', 'Estonian', 'Filipino', 'Galician', 'Welsh', 'Georgian', 'Gujarati', 'Hausa', 'Hebrew', 'Hindi', 'Igbo', 'Yoruba', 'Irish', 'Icelandic', 'Khmer', 'Latvian', 'Lithuanian', 'Luxembourgish', 'Macedonian', 'Malayalam', 'Malay', 'Maltese', 'Maori', 'Marathi', 'Mongolian', 'Nepali', 'Odia', 'Punjabi (Gurmukhi)', 'Punjabi (Shahmukhi)', 'Persian', ""K'iche'"", 'Kinyarwanda', 'Kyrgyz', 'Quechua', 'Sotho', 'Sindhi', 'Sorani', 'Swahili', 'Serbian', 'Tajik', 'Tigrinya', 'Tswana', 'Turkmen', 'Tatar', 'Tamil', 'Telugu', 'Uyghur', 'Wolof', 'Urdu', 'Uzbek', 'Valencian', 'Xhosa', 'Zulu', 'Scots']",2020-02-28
1239270,Yoren,['undefinedcompany'],['undefinedcompany'],"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy', 'Early Access']",['English'],2020-05-25
1239300,Gravewood High,['HeroCraft PC'],['HeroCraft PC'],"['Action', 'Adventure', 'Indie']","['English', 'Simplified Chinese', 'Traditional Chinese', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Russian', 'Turkish']",2023-05-03
1239400,Death courier,['SimplexGameStudio'],['SimplexGameStudio'],"['Action', 'Indie']",['English'],2020-05-13
1239470,Raid,['Ikuku'],['Ikuku'],"['Casual', 'Indie']","['English', 'Ukrainian']",2020-06-24
1239490,LOVE - A Puzzle Box Filled with Stories,['Rocketship Park'],['Thalamus Digital'],['Indie'],['English'],2020-10-21
1238620,Peg Solitaire Adventure,['Kedexa'],['Kedexa'],"['Casual', 'Indie', 'Simulation']",['English'],2020-02-17
1238630,FatCat with Hat - Reload the Powergun,['Mathias Neubert'],['Mathias Neubert'],"['Action', 'Indie']","['English', 'German']",2020-03-17
1238680,Amairo Chocolate,['Cabbage Soft'],['Sekai Project'],['Indie'],"['Japanese', 'Simplified Chinese', 'Traditional Chinese', 'English']",2020-03-19
1238710,Wonderland Nights: White Rabbit's Diary,['Sky Bear Games'],['Sky Bear Games'],"['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Strategy']",['English'],2020-06-11
1238720,Wandering Through The Vines,['EmotionalMingo'],['EmotionalMingo'],"['Adventure', 'Indie']",['English'],2020-02-14
1238730,Flowers -Le volume sur automne-,['Innocent Grey'],['JAST'],"['Adventure', 'Casual']","['English', 'Simplified Chinese']",2020-07-30
1238810,Battlefield™ V,['DICE'],['Electronic Arts'],['Action'],"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese']",2020-10-22
1238820,Battlefield 3™,['DICE'],['Electronic Arts'],['Action'],"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Russian', 'Japanese', 'Czech', 'Hungarian', 'Korean', 'Traditional Chinese']",2020-06-11
1238860,Battlefield 4™,['DICE'],['Electronic Arts'],['Action'],"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Traditional Chinese', 'Japanese']",2020-06-11
1238970,Sudd City Adventures,['Sudd City Interactive'],['Limit Break LLC'],"['Adventure', 'Casual', 'Indie']",['English'],2020-05-22
1238980,Pancake House,['ELIOT'],['ELIOT'],"['Action', 'Adventure', 'Indie']",['English'],2020-07-05
1239000,Relentless,['Breakpoint Games'],['Breakpoint Games'],"['Casual', 'Indie', 'Strategy']","['English', 'French']",2020-03-13
1239020,TOGETHER BnB,['AURORA Games'],['AURORA Games'],"['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Early Access']","['English', 'Simplified Chinese', 'Traditional Chinese']",2021-04-09
1239030,Seven Dunes: Curse on the Golden Sand,['lynXoft'],['Greenlynx'],"['Action', 'Adventure', 'RPG']",['English'],2022-01-07
1238130,禁忌,['0'],,"['Adventure', 'Casual', 'Indie', 'RPG']",['Simplified Chinese'],2020-02-16
1238180,My Universe - School Teacher,['Magic Pockets'],['Microids'],"['Casual', 'Simulation']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch']",2020-11-18
1238220,UNNAMED,['H3Soft'],['H3Soft'],"['Adventure', 'Casual', 'Indie']",['English'],2020-03-02
1238250,Cave Game,['Conarium Software'],['Conarium Software'],"['Adventure', 'Indie', 'Simulation', 'Early Access']",['English'],2020-02-27
1238280,100 Doors Game - Escape from School,['Peaksel'],['Peaksel'],"['Adventure', 'Casual', 'Free To Play']","['English', 'French', 'Italian', 'German', 'Arabic', 'Czech', 'Danish', 'Hungarian', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Spanish - Latin America', 'Swedish', 'Thai', 'Turkish', 'Ukrainian']",2020-03-20
1238330,Frontline: Panzer Blitzkrieg!,['Frontline: Games Series'],['Frontline: Games Series'],"['Action', 'Indie', 'Simulation', 'Strategy']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Portuguese - Portugal', 'Russian', 'Traditional Chinese']",2020-03-06
1238340,Terra Lander II - Rockslide Rescue,['DM Media'],['Funbox Media Ltd'],"['Casual', 'Indie']",['English'],2020-02-28
1238400,Never Date Werewolves,"[""Heart's Choice""]","[""Heart's Choice""]","['Adventure', 'Casual', 'Indie', 'RPG']",['English'],2020-04-16
1238450,Interference: Dead Air,['Fear of Corn'],['V Publishing'],"['Adventure', 'Indie', 'Simulation']",['English'],2023-02-02
1238470,Come on-be with you,['yu'],['yun'],"['Action', 'Casual', 'Indie', 'Simulation', 'Sports', 'Strategy']","['English', 'French', 'Italian', 'German', 'Russian', 'Japanese', 'Simplified Chinese', 'Traditional Chinese', 'Portuguese - Brazil', 'Arabic', 'Korean', 'Spanish - Spain', 'Danish', 'Ukrainian', 'Bulgarian', 'Hungarian', 'Turkish', 'Greek', 'Norwegian', 'Czech', 'Polish', 'Thai', 'Swedish', 'Romanian', 'Finnish', 'Dutch', 'Portuguese - Portugal', 'Spanish - Latin America', 'Vietnamese']",2020-02-13
1238480,McSpace Colosseum,['Drowsy Whale'],['Drowsy Whale'],['Action'],['English'],2022-01-17
1238490,MoonRun,['Boulder Trap Games'],['Boulder Trap Games'],"['Action', 'Casual', 'Indie']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Ukrainian', 'Vietnamese']",2020-05-22
